;cd_instrumento;tp_instrumento;stp_instrumento;dt_medicao;hr_medicao;sit_medicao;valor;tp_coleta;just_n_medicao;numero_OS;cond_adversa;obs;unid_medida_u;unid_medida_y;leitura_m;unid_medida_w;unid_medida_aa;unid_medida_ac;lei_manual_m;leitura;leitua_sensor_u1;cota_z;leitura_sensor_u1;unid_medida;Valor;unid_medida_aec;desv_padrao
1600;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-26;0:20.30;Realizada;;Automatizada;;260267.0;SECO;;;;;;;;;;;;;;;;0
1601;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-27;0:20.49;Realizada;;Automatizada;;260405.0;SECO;;;;;;;;;;;;;;;;0
1602;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-28;0:23.30;Realizada;;Automatizada;;260599.0;SECO;;;;;;;;;;;;;;;;0
1603;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-29;0:31.40;Realizada;;Automatizada;;260815.0;SECO;;;;;;;;;;;;;;;;0
1604;PICBMV2PZ007;Piezômetro;Casagrande;2020-09-30;0:20.09;Realizada;;Automatizada;;260990.0;SECO;;;;;;;;;;;;;;;;0
1605;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-01;0:30.42;Realizada;;Automatizada;;261381.0;SECO;;;;;;;;;;;;;;;;0
1606;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-02;0:27.07;Realizada;;Automatizada;;261719.0;SECO;;;;;;;;;;;;;;;;0
1607;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-03;0:23.04;Realizada;;Automatizada;;261894.0;SECO;;;;;;;;;;;;;;;;0
1608;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-04;0:20.25;Realizada;;Automatizada;;262025.0;SECO;;;;;;;;;;;;;;;;0
1609;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-05;0:25.40;Realizada;;Automatizada;;262197.0;SECO;;;;;;;;;;;;;;;;0
1610;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-06;0:29.35;Realizada;;Automatizada;;262400.0;SECO;;;;;;;;;;;;;;;;0
1611;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-07;0:24.52;Realizada;;Automatizada;;262549.0;SECO;;;;;;;;;;;;;;;;0
1612;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-08;0:55.27;Não Realizada;;Automatizada;Medição realizada em outra OS;262719.0;;Monitoramento dos instrumentos realizado na 1ª Quinzenal O.S 261199;;;;;;;;;;;;;;;0
1613;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-08;0:23.30;Realizada;;Automatizada;;261199.0;SECO;;;;;;;;;;;;;;;;0
1614;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-09;0:24.32;Realizada;;Automatizada;;262870.0;SECO;;;;;;;;;;;;;;;;0
1615;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-10;0:22.05;Realizada;;Automatizada;;263023.0;SECO;;;;;;;;;;;;;;;;0
1616;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-11;0:27.27;Realizada;;Automatizada;;263170.0;SECO;;;;;;;;;;;;;;;;0
1617;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-12;0:21.50;Realizada;;Automatizada;;263338.0;SECO;;;;;;;;;;;;;;;;0
1618;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-13;0:23.57;Realizada;;Automatizada;;263527.0;SECO;;;;;;;;;;;;;;;;0
1619;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-14;0:20.25;Realizada;;Automatizada;;263682.0;SECO;;;;;;;;;;;;;;;;0
1620;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-15;0:25.30;Realizada;;Automatizada;;263962.0;SECO;;;;;;;;;;;;;;;;0
1621;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-15;0:43.12;Não Realizada;;Automatizada;Medição realizada em outra OS;264102.0;;;;;;;;;;;;;;;;;0
1622;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-17;0:21.45;Realizada;;Manual;;264471.0;SECO;;;;;;;;;;;;;;;;0
1623;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-18;0:21.29;Realizada;;Automatizada;;264527.0;SECO;;;;;;;;;;;;;;;;0
1624;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-19;0:26.02;Realizada;;Automatizada;;264712.0;SECO;;;;;;;;;;;;;;;;0
1625;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-20;0:24.55;Realizada;;Automatizada;;264917.0;SECO;;;;;;;;;;;;;;;;0
1626;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-21;0:25.42;Realizada;;Automatizada;;265074.0;SECO;;;;;;;;;;;;;;;;0
1627;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-22;0:25.00;Realizada;;Automatizada;;265227.0;SECO;;;;;;;;;;;;;;;;0
1628;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-22;0:40.25;Não Realizada;;Automatizada;Medição realizada em outra OS;265252.0;;realizada na O.S 265227;;;;;;;;;;;;;;;0
1629;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-23;0:27.34;Realizada;;Manual;;265489.0;SECO;;;;;;;;;;;;;;;;0
1630;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-24;0:22.02;Realizada;;Manual;;265634.0;SECO;;;;;;;;;;;;;;;;0
1631;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-25;0:31.12;Não Realizada;;Automatizada;Chuva;265689.0;;Devido a intesidade da chuva no dia anterior, não foi possivel efeutar o monitoramento dos instrumento manuais, somente nispeção visual,( Para priorizar apoio na recuperação de drenagem da barragem de fernadinho, e fetuar isnpeção em todas as estruturas;;;;;;;;;;;;;;;0
1632;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-26;0:22.05;Realizada;;Automatizada;;265863.0;SECO;;;;;;;;;;;;;;;;0
1633;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-27;0:22.59;Realizada;;Automatizada;;266085.0;SECO;;;;;;;;;;;;;;;;0
1634;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-28;0:27.22;Realizada;;Automatizada;;266261.0;SECO;;;;;;;;;;;;;;;;0
1635;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-29;0:24.15;Não Realizada;;Automatizada;Medição realizada em outra OS;266458.0;;O.S-266432;;;;;;;;;;;;;;;0
1636;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-29;0:25.27;Realizada;;Automatizada;;266432.0;SECO;;;;;;;;;;;;;;;;0
1637;PICBMV2PZ007;Piezômetro;Casagrande;2020-10-30;0:24.47;Realizada;;Manual;;266754.0;SECO;;;;;;;;;;;;;;;;0
1638;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-01;0:24.50;Realizada;;Automatizada;;267187.0;SECO;;;;;;;;;;;;;;;;0
1639;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-02;0:22.37;Realizada;;Automatizada;;267527.0;SECO;;;;;;;;;;;;;;;;0
1640;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-03;0:24.10;Realizada;;Automatizada;;267730.0;SECO;;;;;;;;;;;;;;;;0
1641;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-04;0:23.44;Realizada;;Automatizada;;267928.0;SECO;;;;;;;;;;;;;;;;0
1642;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-05;0:33.55;Não Realizada;;Automatizada;Medição realizada em outra OS;268080.0;;Monitoramento realizado na O.S 268105 - Quinta feira;;;;;;;;;;;;;;;0
1643;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-05;0:23.15;Realizada;;Automatizada;;268105.0;SECO;;;;;;;;;;;;;;;;0
1644;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-06;0:24.34;Realizada;;Manual;;268346.0;SECO;;;;;;;;;;;;;;;;0
1645;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-07;0:20.02;Realizada;;Manual;;268485.0;SECO;;;;;;;;;;;;;;;;0
1646;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-08;0:24.52;Realizada;;Automatizada;;268537.0;SECO;;;;;;;;;;;;;;;;0
1647;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-09;0:27.24;Realizada;;Automatizada;;267061.0;SECO;;;;;;;;;;;;;;;;0
1648;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-09;0:49.17;Não Realizada;;Automatizada;Medição realizada em outra OS;268700.0;;Monitoramento realizado na O.S 267061 - 1ª Quinzenal;;;;;;;;;;;;;;;0
1649;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-10;0:26.42;Realizada;;Automatizada;;268929.0;SECO;;;;;;;;;;;;;;;;0
1650;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-11;0:20.49;Realizada;;Automatizada;;269079.0;SECO;;;;;;;;;;;;;;;;0
1651;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-12;0:20.49;Realizada;;Automatizada;;269260.0;SECO;;;;;;;;;;;;;;;;0
1652;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-12;0:40.57;Não Realizada;;Automatizada;Medição realizada em outra OS;269235.0;;realizada na O,S 269260;;;;;;;;;;;;;;;0
1653;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-13;0:23.42;Realizada;;Manual;;269513.0;SECO;;;;;;;;;;;;;;;;0
1654;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-14;0:24.05;Realizada;;Manual;;269738.0;SECO;;;;;;;;;;;;;;;;0
1655;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-15;0:21.10;Realizada;;Automatizada;;269837.0;SECO;;;;;;;;;;;;;;;;0
1656;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-16;0:22.54;Realizada;;Automatizada;;270097.0;SECO;;;;;;;;;;;;;;;;0
1657;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-17;0:23.44;Realizada;;Automatizada;;270353.0;SECO;;;;;;;;;;;;;;;;0
1658;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-18;0:24.10;Realizada;;Automatizada;;270508.0;SECO;;;;;;;;;;;;;;;;0
1659;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-19;0:25.42;Realizada;;Automatizada;;270680.0;SECO;;;;;;;;;;;;;;;;0
1660;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-19;0:34.05;Não Realizada;;Automatizada;Medição realizada em outra OS;270655.0;;Monitoramento realizado na O.S 270680 - Inspeção de Quinta-feira;;;;;;;;;;;;;;;0
1661;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-20;0:23.44;Realizada;;Manual;;271061.0;SECO;;;;;;;;;;;;;;;;0
1662;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-21;0:24.05;Realizada;;Manual;;271060.0;SECO;;;;;;;;;;;;;;;;0
1663;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-22;0:20.30;Realizada;;Automatizada;;271112.0;SECO;;;;;;;;;;;;;;;;0
1664;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-23;0:23.20;Realizada;;Automatizada;;271285.0;SECO;;;;;;;;;;;;;;;;0
1665;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-24;0:26.49;Realizada;;Automatizada;;269533.0;SECO;;;;;;;;;;;;;;;;0
1666;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-24;0:20.07;Não Realizada;;Automatizada;Medição realizada em outra OS;271493.0;;Monitoramento realizado na O.S 269533;;;;;;;;;;;;;;;0
1667;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-25;0:24.10;Realizada;;Automatizada;;271971.0;SECO;;;;;;;;;;;;;;;;0
1668;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-26;0:27.05;Realizada;;Automatizada;;272159.0;SECO;;;;;;;;;;;;;;;;0
1669;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-26;0:37.30;Não Realizada;;Automatizada;Medição realizada em outra OS;272127.0;;Monitoramento realizado na O.S 272159.;;;;;;;;;;;;;;;0
1670;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-27;0:24.55;Realizada;;Manual;;272417.0;SECO;;;;;;;;;;;;;;;;0
1671;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-28;0:22.40;Realizada;;Manual;;272598.0;SECO;;;;;;;;;;;;;;;;0
1672;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-29;0:21.00;Realizada;;Automatizada;;272650.0;SECO;;;;;;;;;;;;;;;;0
1673;PICBMV2PZ007;Piezômetro;Casagrande;2020-11-30;0:26.15;Realizada;;Automatizada;;272866.0;SECO;;;;;;;;;;;;;;;;0
1674;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-01;0:21.02;Realizada;;Automatizada;;273327.0;SECO;;;;;;;;;;;;;;;;0
1675;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-02;0:21.42;Realizada;;Automatizada;;273679.0;SECO;;;;;;;;;;;;;;;;0
1676;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-03;0:24.02;Realizada;;Automatizada;;273851.0;SECO;;;;;;;;;;;;;;;;0
1677;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-03;0:39.32;Não Realizada;;Automatizada;Medição realizada em outra OS;273826.0;;Monitoramento realizado na O.S 273851 - Quinta-feira;;;;;;;;;;;;;;;0
1678;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-04;0:23.07;Realizada;;Manual;;274103.0;SECO;;;;;;;;;;;;;;;;0
1679;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-05;0:20.57;Realizada;;Manual;;274253.0;SECO;;;;;;;;;;;;;;;;0
1680;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-06;0:20.42;Realizada;;Automatizada;;274305.0;SECO;;;;;;;;;;;;;;;;0
1681;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-07;0:21.37;Realizada;;Automatizada;;274475.0;SECO;;;;;;;;;;;;;;;;0
1682;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-08;0:30.12;Não Realizada;;Automatizada;Medição realizada em outra OS;274684.0;;Monitoramento realizado na O.S 273197 - 1ª Quinzenal Dezembro 2020;;;;;;;;;;;;;;;0
1683;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-08;0:25.47;Realizada;;Automatizada;;273197.0;SECO;;;;;;;;;;;;;;;;0
1684;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-09;0:26.02;Realizada;;Automatizada;;274831.0;SECO;;;;;;;;;;;;;;;;0
1685;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-10;0:25.30;Realizada;;Automatizada;;275017.0;SECO;;;;;;;;;;;;;;;;0
1686;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-10;0:32.32;Não Realizada;;Automatizada;Medição realizada em outra OS;274992.0;;OS 275017;;;;;;;;;;;;;;;0
1687;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-11;0:25.22;Realizada;;Manual;;275255.0;SECO;;;;;;;;;;;;;;;;0
1688;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-12;0:28.57;Realizada;;Manual;;275404.0;SECO;;;;;;;;;;;;;;;;0
1689;PICBMV2PZ007;Piezômetro;Casagrande;2020-12-13;0:27.00;Realizada;;Automatizada;;275450.0;SECO;;;;;;;;;;;;;;;;0
